No    	Event ID	Date	Origin Time	Latitude	Longitude	Depth(km)	xM	MD	ML	Mw	Ms	Mb	Type	Location
000001	20220111010745	2022.01.11	01:07:45.92	35.1167	31.9445	008.4	6.4	0.0	6.4	6.4	0.0	0.0	Ke	AKDENIZ
000002	20211012092404	2021.10.12	09:24:04.80	35.0007	26.3345	016.1	6.3	0.0	6.3	6.2	0.0	0.0	Ke	GIRIT ADASI ACIKLARI (AKDENIZ)
000003	20201030115124	2020.10.30	11:51:24.37	37.8877	26.7057	011.2	6.9	0.0	6.7	6.9	0.0	0.0	Ke	EGE DENIZI
000004	20200223160029	2020.02.23	16:00:29.57	38.4143	44.4925	007.2	6.0	0.0	5.9	6.0	0.0	0.0	Ke	TURKIYE-IRAN SINIR BOLGESI
000005	20200124175510	2020.01.24	17:55:10.61	38.3922	39.0847	005.0	6.7	0.0	6.7	6.5	0.0	0.0	Ke	KALABA-SIVRICE (ELAZIG) [North West  2.5 km]
000006	20170720223109	2017.07.20	22:31:09.66	36.9693	27.4057	007.1	6.6	0.0	6.6	6.6	0.0	0.0	Ke	GOKOVA KORFEZI (AKDENIZ)
000007	20170612122837	2017.06.12	12:28:37.53	38.8468	26.3252	014.4	6.3	0.0	6.3	6.1	0.0	0.0	Ke	EGE DENIZI
000008	20150416180744	2015.04.16	18:07:44.80	35.1613	26.9055	029.4	6.1	0.0	6.1	5.8	0.0	0.0	Ke	GIRIT ADASI (AKDENIZ)
000009	20131228152103	2013.12.28	15:21:03.67	35.9722	31.2710	070.9	6.0	0.0	6.0	5.5	0.0	0.0	Ke	AKDENIZ
000010	20120709135457	2012.07.09	13:54:57.75	35.5785	29.0067	023.4	6.0	0.0	6.0		0.0	0.0	Ke	AKDENiZ
000011	20120610124416	2012.06.10	12:44:16.29	36.4528	28.9160	021.3	6.0	0.0	6.0		0.0	0.0	Ke	ÖLÜDENIZ AÇIKLARI-MUGLA (AKDENIZ)
000012	20111023104121	2011.10.23	10:41:21.01	38.7212	43.4110	005.0	7.2	0.0	6.7	7.2	0.0	0.0	Ke	YEMLICE- (VAN) [North West  1.5 km]
000013	20110401132908	2011.04.01	13:29:08.56	35.5138	26.5798	057.1	6.2	0.0	6.2	6.1	0.0	0.0	Ke	AKDENIZ
000014	20100308023231	2010.03.08	02:32:31.09	38.8300	40.1308	005.0	6.1	0.0	6.0	6.1	0.0	0.0	Ke	ISAAGAMEZRASI-KOVANCILAR (ELAZIG) [South West  0.6 km]
000015	20080715032633	2008.07.15	03:26:33.58	35.7948	27.8798	030.9	6.4	0.0	6.4	6.3	0.0	0.0	Ke	AKDENIZ
000016	20030501002704	2003.05.01	00:27:04.40	39.0100	40.4600	0010	6.4	6.2	0.0	6.4	6.4	0.0	Ke	KURTULUS- (BINGOL) [South West  4.3 km]
000017	20030127052628	2003.01.27	05:26:28.00	39.4800	39.7700	0010	6.1	6.1	0.0	6.1	6.0	5.7	Ke	SAGLAMTAS-PULUMUR (TUNCELI) [North West  4.3 km]
000018	20020203092644	2002.02.03	09:26:44.10	38.6800	30.8200	0005	6.0	5.9	0.0	6.0	0.0	0.0	Ke	COBANLAR (AFYONKARAHISAR) [South East  4.1 km]
000019	20020203071128	2002.02.03	07:11:28.60	38.5800	31.2500	0010	6.1	6.1	0.0	6.0	0.0	0.0	Ke	TASKOPRU-SULTANDAGI (AFYONKARAHISAR) [West 3.4 km]
000020	19991112165720	1999.11.12	16:57:20.80	40.7400	31.2100	0025	7.2	7.2	0.0		0.0	0.0	Ke	UGUR- (DUZCE) [North East  0.3 km]
000021	19990817000137	1999.08.17	00:01:37.60	40.7600	29.9700	0018	7.4	7.4	0.0		0.0	0.0	Ke	BASISKELE (KOCAELI) [North East  2.0 km]
000022	19980627135551	1998.06.27	13:55:51.80	36.9600	35.5200	0018	6.3	6.3	0.0		0.0	0.0	Ke	HASANBEYLI-SARICAM (ADANA) [South 10.1 km]
000023	19951001155713	1995.10.01	15:57:13.10	38.1100	30.0500	0005	6.0	0.0	0.0		6.0	0.0	Ke	BELENPINAR-DINAR (AFYONKARAHISAR) [South 0.6 km]
000024	19921106190809	1992.11.06	19:08:09.20	38.1600	26.9900	0017	6.0	0.0	5.7		6.0	5.7	Ke	ORHANLI-SEFERIHISAR (IZMIR) [East 3.5 km]
000025	19920313171839	1992.03.13	17:18:39.40	39.7200	39.6300	0023	6.8	0.0	0.0		6.8	6.1	Ke	GUNEBAKAN- (ERZINCAN) [South West  1.7 km]
000026	19881207074124	1988.12.07	07:41:24.30	40.9600	44.1600	0005	6.7	0.0	0.0		6.7	6.0	Ke	AZERBAYCAN
000027	19831030041228	1983.10.30	04:12:28.10	40.3500	42.1800	0016	6.8	0.0	0.0		6.8	6.0	Ke	PARMAKDERE-SARIKAMIS (KARS) [North West  4.2 km]
000028	19780713123843	1978.07.13	12:38:43.00	39.1000	29.9000	0010	6.0	2.6	0.0		0.0	0.0	Ke	YAGCILAR-ASLANAPA (KÜTAHYA) [South East  4.7 km]
000029	19780708092450	1978.07.08	09:24:50.90	39.6800	29.4200	0000	6.0	2.6	0.0		0.0	0.0	Ke	BOZBELEN-TAVSANLI (KÜTAHYA) [South East  0.9 km]
000030	19761124122216	1976.11.24	12:22:16.00	39.0500	44.0400	0010	7.5	0.0	0.0		7.5	6.1	Ke	YENIYAKA-CALDIRAN (VAN) [South East  1.9 km]
000031	19750906092012	1975.09.06	09:20:12.00	38.5100	40.7700	0032	6.6	0.0	0.0		6.6	0.0	Ke	UCDAMLAR-LICE (DIYARBAKIR) [West 1.6 km]
000032	19750327051507	1975.03.27	05:15:07.90	40.4500	26.1200	0015	6.7	0.0	5.7		6.7	5.5	Ke	SAROS KÖRFEZI (EGE DENIZI)
000033	19710525054326	1971.05.25	05:43:26.10	39.0500	29.7100	016.0	6.0	5.8	5.7	6.0	5.9	5.7	Ke	TOKUL-ASLANAPA (KÜTAHYA) [West 5.2 km]
000034	19710522164359	1971.05.22	16:43:59.30	38.8500	40.5200	003.0	6.8	6.7	0.0	6.1	6.8	5.9	Ke	GUVECLI- (BINGOL) [North West  0.7 km]
000035	19700328210223	1970.03.28	21:02:23.50	39.2100	29.5100	018.0	7.0	0.0	7.0	6.2	7.0	6.0	Ke	KIZIK-CAVDARHISAR (KÜTAHYA) [North 0.8 km]
