no      names	      	lat	lon            
01	ADANA		37.0000	35.3213			
02	ADIYAMAN	37.7641	38.2761			
03	AFYONKARAHISAR	38.7637	30.5403		
04	AGRI		39.7216	43.0566
05	AMASYA		40.6500	35.8333
06	ANKARA		39.9207	32.8541
07	ANTALYA		36.8841	30.7056
08	ARTVIN 		41.1833	41.8166
09	AYDIN		37.8444	27.8458
10	BALIKESIR	39.6483	27.8826
11	BILECIK		40.1503	29.9830
12	BINGOL		38.8853	40.4982
13	BITLIS		38.4000	42.1166
14      BOLU 		40.7394	31.6115
15      BURDUR 		37.7269	30.2888 
16      BURSA		40.1825	29.0668 
17      CANAKKALE	40.1553	26.4141 
18      CANKIRI		40.6000	33.6166         
19	CORUM		40.5505	34.9555
20	DENIZLI		37.7765	29.0864
21	DIYARBAKIR	37.9144	40.2306
22	EDIRNE		41.6666	26.5666
23	ELAZIG		38.6809	39.2264
24	ERZINCAN	39.7500	39.5000
25	ERZURUM		39.9043	41.2678
26	ESKISEHIR	39.7843	30.5192
27	GAZIANTEP	37.0662	37.3833
28	GIRESUN		40.9128	38.3895
29	GUMUSHANE	40.4902	39.4813
30	HAKKARI		37.5833	43.7333
31	HATAY		36.4018	36.3498
32	ISPARTA		37.7666	30.5500
33	MERSIN		36.8000	34.6333
34	ISTANBUL	41.0052	28.9769
35	IZMIR		38.4188	27.1287
36	KARS		40.5926	43.0778
37	KASTAMONU	41.3887	33.7827
38	KAYSERI		38.7333	35.4833
39	KIRKLARELI	41.7333	27.2166
40	KIRSEHIR	39.1500	34.1666
41	KOCAELI		40.8532	29.8815
42	KONYA		37.8666	32.4833
43	KUTAHYA		39.4166	29.9833
44	MALATYA		38.3552	38.3094
45	MANISA		38.6190	27.4289
46	KAHRAMANMARAS	37.5833	36.9333
47	MARDIN		37.3122	40.7351
48	MUGLA		37.2152	28.3636
49	MUS		38.7432	41.5064
50	NEVSEHIR	38.6144	34.7239
51	NIGDE		37.9666	34.6833
52	ORDU		40.9833	37.8833
53	RIZE		41.0200	40.5234
54	SAKARYA		40.7568	30.3781
55	SAMSUN		41.2927	36.3312
56	SIIRT		37.9442	41.9328
57	SINOP		42.0264	35.1550
58	SIVAS		39.7476	37.0178
59 	TEKIRDAG	40.9833	27.5166
60	TOKAT		40.3166	36.5500
61	TRABZON		41.0000	39.7333
62	TUNCELI		39.1079	39.5401
63	SANLIURFA	37.1500	38.8000
64	USAK		38.6823	29.4082
65	VAN		38.4941	43.3800
66	YOZGAT		39.8200	34.4044
67	ZONGULDAK	41.4564	31.7987
68	AKSARAY		38.3686	34.0369
69	BAYBURT		40.2551	40.2248
70	KARAMAN		37.1759	33.2287
71	KIRIKKALE	38.8468	33.2287
72	BATMAN		37.8811	41.1351
73	SIRNAK		37.5164	42.4611
74	BARTIN		41.6344	32.3375
75	ARDAHAN		41.1104	42.7021
76	IGDIR		39.9166	44.0333
77	YALOVA		40.6500	29.2666
78	KARABUK		41.2000	32.6333
79	KILIS		36.7183	37.1212
80	OSMANIYE	37.0680	36.2615
81	DUZCE		40.8438	31.1565
